,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Mesobacillus foraminis,1,2,0,0,4,0,1,0,0,0,0
Rossellomorea vietnamensis,3,2,0,0,0,1,0,1,1,0,1
Oceanobacillus kimchii,0,0,0,0,0,0,0,0,0,0,0
Paenalkalicoccus suaedae,3,2,0,2,1,0,2,0,1,0,0
Pradoshia sp. D12,2,2,1,0,0,0,0,0,1,1,2
Lederbergia lenta,2,1,3,0,4,1,2,0,2,0,2
Sutcliffiella cohnii,2,0,1,1,1,3,0,0,2,0,1
Fictibacillus sp. KU28468,2,1,0,0,1,0,0,0,0,0,3
Lentibacillus sp. CBA3610,2,4,0,1,7,2,2,0,6,2,0
Caldalkalibacillus thermarum,0,0,0,0,0,0,0,0,0,0,0
Psychrobacillus sp. INOP01,1,1,1,0,1,0,1,0,0,0,1
Fervidibacillus albus,1,0,1,0,2,1,1,0,2,0,0
Amphibacillus xylanus,0,0,0,0,0,0,0,0,0,0,0
Halobacillus litoralis,1,1,1,0,2,1,2,0,4,0,3
Gottfriedia acidiceleris,1,1,1,0,1,0,0,2,1,1,0
Ectobacillus sp. JY-23,1,1,0,0,1,1,0,0,0,0,0
Salipaludibacillus sp. LMS25,1,1,1,0,1,1,0,1,2,1,1
Paenibacillus sp. RC67,3,4,2,1,1,3,0,1,3,0,2
Paenibacillus sp. R14(2021),2,4,0,1,3,1,1,0,7,1,3
Paenibacillus sp. sptzw28,2,2,1,1,0,3,1,0,4,2,0
Paenibacillus sp. HWE-109,2,6,0,2,3,10,2,10,3,2,5
Paenibacillus sp. SYP-B4298,1,0,2,0,1,0,0,0,1,1,0
Paenibacillus sp. JNUCC-31,1,2,1,0,0,1,2,0,1,1,0
Paenibacillus sp. M-152,1,1,0,0,0,0,0,0,0,0,0
Paenibacillus sp. CC-CFT742,1,1,0,1,1,1,2,5,0,0,2
Paenibacillus sp. BIHB 4019,1,4,1,0,2,1,1,2,0,0,1
Paenibacillus sp. FSL R5-0345,1,0,0,0,0,0,0,0,0,0,0
Paenibacillus sp. IHB B 3084,1,0,0,0,0,1,0,0,0,0,0
Paenibacillus mucilaginosus,6,8,0,1,6,8,1,2,14,2,2
Paenibacillus psychroresistens,4,7,0,0,1,3,0,0,7,1,0
Paenibacillus andongensis,4,3,3,0,3,12,4,21,8,2,10
Paenibacillus elgii,3,1,0,0,0,1,0,0,0,0,1
Paenibacillus rhizovicinus,3,1,0,2,3,2,3,0,4,0,0
Paenibacillus polymyxa,1,4,0,1,1,1,0,1,4,1,0
Paenibacillus swuensis,2,1,0,2,3,2,0,2,2,0,1
Paenibacillus thiaminolyticus,2,5,2,2,5,2,1,2,3,1,1
Paenibacillus beijingensis,1,2,0,1,0,1,0,1,2,0,0
Paenibacillus dendritiformis,1,0,0,0,0,0,0,0,1,0,0
Paenibacillus lycopersici,1,2,0,0,0,1,1,0,2,1,1
Paenibacillus amylolyticus,1,0,0,0,0,0,0,0,0,0,0
Paenibacillus alvei,1,1,0,0,0,0,0,0,0,0,0
Paenibacillus larvae,1,0,0,0,0,0,0,0,0,1,0
Cohnella herbarum,2,0,0,0,2,0,0,0,2,0,0
Cohnella sp. LGH,1,1,1,0,1,0,0,0,2,0,1
Brevibacillus sp. NSP2.1,1,0,0,0,0,0,0,0,0,0,1
Brevibacillus humidisoli,1,1,0,0,1,1,0,0,0,0,0
Saccharibacillus brassicae,2,0,1,0,2,0,0,0,0,0,0
Sporosarcina sp. Marseille-Q4063,21,39,5,5,21,25,9,20,27,9,8
Sporosarcina sp. resist,2,1,0,0,1,0,0,1,3,0,1
Sporosarcina sp. Marseille-Q4943,1,3,1,0,1,2,0,2,2,0,0
Sporosarcina thermotolerans,2,8,4,1,10,4,1,5,10,3,6
Planococcus sp. MB-3u-03,3,4,2,0,6,3,2,2,4,3,2
Planococcus donghaensis,2,2,0,0,0,0,0,1,0,0,0
Planococcus plakortidis,1,0,0,1,0,0,0,0,3,0,3
Solibacillus silvestris,0,0,0,0,0,0,0,0,0,0,0
Rummeliibacillus stabekisii,1,0,0,0,0,0,0,0,0,0,1
Staphylococcus aureus,5,4,2,2,11,7,2,7,16,5,7
Staphylococcus epidermidis,2,1,1,0,2,3,0,2,0,1,3
Staphylococcus pseudintermedius,1,1,1,2,1,1,1,1,3,1,3
Staphylococcus condimenti,1,0,0,0,0,1,0,0,1,0,0
Staphylococcus equorum,1,0,0,0,0,0,0,0,0,0,0
Tumebacillus avium,2,1,2,0,0,1,1,0,0,2,0
Tumebacillus algifaecis,1,0,1,0,0,0,1,0,0,0,0
Kroppenstedtia eburnea,1,1,0,0,0,0,0,0,0,0,0
Polycladomyces abyssicola,1,0,0,0,0,2,0,0,0,0,0
Novibacillus thermophilus,1,0,0,0,0,0,0,0,0,0,0
Listeria monocytogenes,2,0,1,1,1,0,1,0,2,0,1
Listeria innocua,1,0,1,0,1,1,0,2,0,0,0
Exiguobacterium marinum,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus delbrueckii,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus sp. ESL0681,1,1,0,0,0,0,0,0,0,0,0
Lactobacillus intestinalis,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus,0,0,0,0,0,0,0,0,1,0,0
Lactiplantibacillus plantarum,0,3,0,1,3,1,1,1,5,0,1
Ligilactobacillus salivarius,2,0,0,1,3,0,0,0,0,1,0
Limosilactobacillus fermentum,2,3,0,0,0,0,0,0,1,0,2
Pediococcus damnosus,1,0,0,0,0,0,0,0,0,0,0
Lacticaseibacillus paracasei,0,0,0,0,1,0,0,0,0,0,0
Streptococcus pyogenes,3,1,0,2,0,0,0,1,0,0,0
Streptococcus thermophilus,2,1,1,1,4,2,2,1,7,0,1
Lactococcus garvieae,0,0,0,0,0,0,0,0,0,0,0
Enterococcus faecalis,1,0,0,0,1,1,0,2,1,0,0
Desemzia incerta,1,0,0,0,0,0,0,0,1,0,0
